"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1613452637542","main.py",""
"e","e","","64","1613460785765","plan1",""
"k","e","","65","1613460785768","plan1",""
"k"," ","","66","1613460785819","plan1",""
"e"," n","","65","1613460786053","plan1",""
"k","n","","67","1613460786055","plan1",""
"e","u","","67","1613460786259","plan1",""
"k","u","","68","1613460786260","plan1",""
"e","m","","68","1613460786509","plan1",""
"k","m","","69","1613460786511","plan1",""
"e","b","","69","1613460786616","plan1",""
"k","b","","70","1613460786618","plan1",""
"e","e","","70","1613460786848","plan1",""
"k","e","","71","1613460786850","plan1",""
"e","r","","71","1613460786928","plan1",""
"k","r","","72","1613460786929","plan1",""
"k"," ","","73","1613460787008","plan1",""
"e"," o","","72","1613460787258","plan1",""
"k","o","","74","1613460787260","plan1",""
"e","f","","74","1613460787340","plan1",""
"k","f","","75","1613460787341","plan1",""
"k"," ","","76","1613460787458","plan1",""
"e"," d","","75","1613460788767","plan1",""
"k","d","","77","1613460788770","plan1",""
"e","i","","77","1613460788860","plan1",""
"k","i","","78","1613460788860","plan1",""
"e","g","","78","1613460789078","plan1",""
"k","g","","79","1613460789081","plan1",""
"e","i","","79","1613460789206","plan1",""
"k","i","","80","1613460789207","plan1",""
"e","t","","80","1613460789443","plan1",""
"k","t","","81","1613460789445","plan1",""
"e","s","","81","1613460789631","plan1",""
"k","s","","82","1613460789632","plan1",""
"k"," ","","83","1613460789749","plan1",""
"a","Backspace","","","1613460790145","plan1",""
"k"," ","","83","1613460791408","plan1",""
"e"," a","","82","1613460791575","plan1",""
"k","a","","84","1613460791576","plan1",""
"e","n","","84","1613460791668","plan1",""
"k","n","","85","1613460791668","plan1",""
"e","d","","85","1613460791798","plan1",""
"k","d","","86","1613460791802","plan1",""
"k"," ","","87","1613460791859","plan1",""
"e"," n","","86","1613460792168","plan1",""
"k","n","","88","1613460792169","plan1",""
"e","u","","88","1613460792365","plan1",""
"k","u","","89","1613460792367","plan1",""
"e","m","","89","1613460792601","plan1",""
"k","m","","90","1613460792602","plan1",""
"e","b","","90","1613460792692","plan1",""
"k","b","","91","1613460792693","plan1",""
"e","e","","91","1613460792909","plan1",""
"k","e","","92","1613460792911","plan1",""
"e","r","","92","1613460792976","plan1",""
"k","r","","93","1613460792977","plan1",""
"k"," ","","94","1613460793025","plan1",""
"e"," o","","93","1613460793286","plan1",""
"k","o","","95","1613460793288","plan1",""
"e","f","","95","1613460793394","plan1",""
"k","f","","96","1613460793396","plan1",""
"k"," ","","97","1613460793485","plan1",""
"a","Backspace","","","1613460796437","plan1",""
"a","Backspace","","","1613460796936","plan1",""
"e","","f","95","1613460796953","plan1",""
"a","Backspace","","","1613460796966","plan1",""
"e","","o","94","1613460796977","plan1",""
"a","Backspace","","","1613460796997","plan1",""
"e",""," ","93","1613460797007","plan1",""
"a","Backspace","","","1613460797029","plan1",""
"e","","r","92","1613460797038","plan1",""
"a","Backspace","","","1613460797057","plan1",""
"e","","e","91","1613460797067","plan1",""
"a","Backspace","","","1613460797100","plan1",""
"e","","b","90","1613460797111","plan1",""
"a","Backspace","","","1613460797123","plan1",""
"e","","m","89","1613460797145","plan1",""
"a","Backspace","","","1613460797323","plan1",""
"e","","u","88","1613460797342","plan1",""
"a","Backspace","","","1613460797515","plan1",""
"e","","n","87","1613460797532","plan1",""
"a","Backspace","","","1613460797676","plan1",""
"e",""," ","86","1613460797693","plan1",""
"a","Backspace","","","1613460797854","plan1",""
"e","","d","85","1613460797863","plan1",""
"a","Backspace","","","1613460798006","plan1",""
"e","","n","84","1613460798023","plan1",""
"a","Backspace","","","1613460798169","plan1",""
"e","","a","83","1613460798185","plan1",""
"e","p","","83","1613460800162","plan1",""
"k","p","","84","1613460800164","plan1",""
"e","e","","84","1613460800362","plan1",""
"k","e","","85","1613460800363","plan1",""
"e","r","","85","1613460800433","plan1",""
"k","r","","86","1613460800434","plan1",""
"k"," ","","87","1613460800544","plan1",""
"e"," r","","86","1613460800767","plan1",""
"k","r","","88","1613460800768","plan1",""
"e","o","","88","1613460800891","plan1",""
"k","o","","89","1613460800894","plan1",""
"e","w","","89","1613460801118","plan1",""
"k","w","","90","1613460801119","plan1",""
"k"," ","","91","1613460801228","plan1",""
"e"," a","","90","1613460801394","plan1",""
"k","a","","92","1613460801395","plan1",""
"e","n","","92","1613460801521","plan1",""
"k","n","","93","1613460801522","plan1",""
"e","d","","93","1613460801600","plan1",""
"k","d","","94","1613460801602","plan1",""
"k"," ","","95","1613460801700","plan1",""
"e"," n","","94","1613460801980","plan1",""
"k","n","","96","1613460801982","plan1",""
"e","u","","96","1613460802178","plan1",""
"k","u","","97","1613460802180","plan1",""
"e","m","","97","1613460802433","plan1",""
"k","m","","98","1613460802434","plan1",""
"e","b","","98","1613460802524","plan1",""
"k","b","","99","1613460802525","plan1",""
"e","e","","99","1613460802746","plan1",""
"k","e","","100","1613460802747","plan1",""
"e","r","","100","1613460802807","plan1",""
"k","r","","101","1613460802809","plan1",""
"k"," ","","102","1613460802884","plan1",""
"e"," o","","101","1613460803115","plan1",""
"k","o","","103","1613460803117","plan1",""
"e","f","","103","1613460803174","plan1",""
"k","f","","104","1613460803176","plan1",""
"k"," ","","105","1613460803284","plan1",""
"e"," r","","104","1613460803856","plan1",""
"k","r","","106","1613460803858","plan1",""
"e","o","","106","1613460803986","plan1",""
"k","o","","107","1613460803988","plan1",""
"e","w","","107","1613460804149","plan1",""
"k","w","","108","1613460804151","plan1",""
"e","s","","108","1613460804529","plan1",""
"k","s","","109","1613460804530","plan1",""
"k"," ","","110","1613460804624","plan1",""
"e"," t","","109","1613460805253","plan1",""
"k","t","","111","1613460805255","plan1",""
"e","h","","111","1613460805315","plan1",""
"k","h","","112","1613460805316","plan1",""
"e","e","","112","1613460805424","plan1",""
"k","e","","113","1613460805425","plan1",""
"k"," ","","114","1613460805548","plan1",""
"e"," n","","113","1613460807765","plan1",""
"k","n","","115","1613460807766","plan1",""
"e","u","","115","1613460807996","plan1",""
"k","u","","116","1613460807998","plan1",""
"e","m","","116","1613460808226","plan1",""
"k","m","","117","1613460808227","plan1",""
"e","b","","117","1613460808335","plan1",""
"k","b","","118","1613460808336","plan1",""
"e","e","","118","1613460808536","plan1",""
"k","e","","119","1613460808537","plan1",""
"e","r","","119","1613460808610","plan1",""
"k","r","","120","1613460808611","plan1",""
"k"," ","","121","1613460808749","plan1",""
"e"," t","","120","1613460809067","plan1",""
"k","t","","122","1613460809069","plan1",""
"e","h","","122","1613460809138","plan1",""
"k","h","","123","1613460809138","plan1",""
"e","e","","123","1613460809254","plan1",""
"k","e","","124","1613460809255","plan1",""
"k"," ","","125","1613460809311","plan1",""
"e"," u","","124","1613460809589","plan1",""
"k","u","","126","1613460809591","plan1",""
"e","s","","126","1613460809695","plan1",""
"k","s","","127","1613460809696","plan1",""
"e","e","","127","1613460809960","plan1",""
"k","e","","128","1613460809962","plan1",""
"e","r","","128","1613460810026","plan1",""
"k","r","","129","1613460810027","plan1",""
"k"," ","","130","1613460810366","plan1",""
"e"," i","","129","1613460810601","plan1",""
"k","i","","131","1613460810602","plan1",""
"e","n","","131","1613460810754","plan1",""
"k","n","","132","1613460810756","plan1",""
"e","p","","132","1613460811080","plan1",""
"k","p","","133","1613460811082","plan1",""
"e","u","","133","1613460811242","plan1",""
"k","u","","134","1613460811243","plan1",""
"e","t","","134","1613460811408","plan1",""
"k","t","","135","1613460811411","plan1",""
"a","Enter","","","1613460811683","plan1",""
"a","Enter","","","1613460813410","plan1",""
"a","Backspace","","","1613460814060","plan1",""
"a","Backspace","","","1613460814564","plan1",""
"a","Backspace","","","1613460814956","plan1",""
"k","S","","143","1613460817990","plan1",""
"k","y","","144","1613460818502","plan1",""
"k","s","","145","1613460818554","plan1",""
"k","t","","146","1613460818788","plan1",""
"k","e","","147","1613460819018","plan1",""
"k","m","","148","1613460819128","plan1",""
"k"," ","","149","1613460819826","plan1",""
"a","Backspace","","","1613460820727","plan1",""
"k","A","","149","1613460821212","plan1",""
"k","n","","150","1613460822022","plan1",""
"k","a","","151","1613460822120","plan1",""
"k","l","","152","1613460822337","plan1",""
"k","y","","153","1613460822546","plan1",""
"k","s","","154","1613460822715","plan1",""
"k","i","","155","1613460822860","plan1",""
"k","s","","156","1613460823000","plan1",""
"a","Enter","","","1613460823489","plan1",""
"k","t","","159","1613460861259","plan1",""
"k","h","","160","1613460861415","plan1",""
"k","e","","161","1613460861492","plan1",""
"k"," ","","162","1613460861584","plan1",""
"k","s","","163","1613460861863","plan1",""
"k","y","","164","1613460861995","plan1",""
"k","s","","165","1613460862154","plan1",""
"k","t","","166","1613460862346","plan1",""
"k","e","","167","1613460862543","plan1",""
"k","m","","168","1613460862554","plan1",""
"k"," ","","169","1613460865048","plan1",""
"k","w","","170","1613460865268","plan1",""
"k","i","","171","1613460865378","plan1",""
"k","l","","172","1613460865568","plan1",""
"k","l","","173","1613460865713","plan1",""
"k"," ","","174","1613460865825","plan1",""
"k","n","","175","1613460865995","plan1",""
"k","e","","176","1613460866142","plan1",""
"k","e","","177","1613460866631","plan1",""
"k","d","","178","1613460866845","plan1",""
"k"," ","","179","1613460866962","plan1",""
"k","t","","180","1613460867085","plan1",""
"k","o","","181","1613460867164","plan1",""
"k"," ","","182","1613460867267","plan1",""
"k","h","","183","1613460868891","plan1",""
"k","a","","184","1613460869002","plan1",""
"k","v","","185","1613460869232","plan1",""
"k","e","","186","1613460869409","plan1",""
"k"," ","","187","1613460869502","plan1",""
"k","e","","188","1613460869703","plan1",""
"k","a","","189","1613460869881","plan1",""
"k","c","","190","1613460870127","plan1",""
"k","h","","191","1613460870244","plan1",""
"k"," ","","192","1613460870335","plan1",""
"k","l","","193","1613460870483","plan1",""
"k","e","","194","1613460870594","plan1",""
"k","v","","195","1613460871169","plan1",""
"k","e","","196","1613460871325","plan1",""
"k","l","","197","1613460871447","plan1",""
"k"," ","","198","1613460871574","plan1",""
"k","f","","199","1613460871980","plan1",""
"k","o","","200","1613460872098","plan1",""
"k","r","","201","1613460872199","plan1",""
"k","m","","202","1613460872333","plan1",""
"k","a","","203","1613460872478","plan1",""
"k","t","","204","1613460872834","plan1",""
"k","e","","205","1613460873036","plan1",""
"k","d","","206","1613460873243","plan1",""
"a","Enter","","","1613460873497","plan1",""
"a","Left","","","1613460877197","plan1",""
"a","Tab","","","1613460877438","plan1",""
"a","Down","","","1613460878600","plan1",""
"a","Backspace","","","1613460879801","plan1",""
"a","Backspace","","","1613460880267","plan1",""
"k"," ","","210","1613460880984","plan1",""
"k","s","","211","1613460881260","plan1",""
"k","o","","212","1613460881335","plan1",""
"k"," ","","213","1613460881426","plan1",""
"k","t","","214","1613460881814","plan1",""
"k","h","","215","1613460881895","plan1",""
"k","e","","216","1613460882030","plan1",""
"k"," ","","217","1613460882075","plan1",""
"k","c","","218","1613460882397","plan1",""
"k","o","","219","1613460882520","plan1",""
"k","r","","220","1613460882682","plan1",""
"k","r","","221","1613460882877","plan1",""
"k","e","","222","1613460883023","plan1",""
"k","c","","223","1613460883399","plan1",""
"k","t","","224","1613460883701","plan1",""
"k"," ","","225","1613460883799","plan1",""
"k","n","","226","1613460884188","plan1",""
"k","u","","227","1613460884411","plan1",""
"k","m","","228","1613460884703","plan1",""
"k","b","","229","1613460884819","plan1",""
"k","e","","230","1613460885038","plan1",""
"k","r","","231","1613460885114","plan1",""
"k"," ","","232","1613460885207","plan1",""
"k","o","","233","1613460885393","plan1",""
"k","f","","234","1613460885513","plan1",""
"k"," ","","235","1613460885665","plan1",""
"k","s","","236","1613460886045","plan1",""
"k","p","","237","1613460886230","plan1",""
"k","a","","238","1613460886561","plan1",""
"k","c","","239","1613460886827","plan1",""
"k","e","","240","1613460887056","plan1",""
"k","s","","241","1613460887317","plan1",""
"k"," ","","242","1613460887431","plan1",""
"k","a","","243","1613460887533","plan1",""
"k","r","","244","1613460887881","plan1",""
"k","e","","245","1613460888021","plan1",""
"k"," ","","246","1613460888168","plan1",""
"k","u","","247","1613460888469","plan1",""
"k","s","","248","1613460888604","plan1",""
"k","e","","249","1613460888907","plan1",""
"k","d","","250","1613460889372","plan1",""
"a","Enter","","","1613460889475","plan1",""
"e","

 SystemAnalysis
    the system will need to have each level formated so the correct number of spaces are used
    ","","135","1613460958250","plan1",""
"e","t","","251","1613461051518","plan1",""
"k","t","","252","1613461051519","plan1",""
"e","h","","252","1613461051592","plan1",""
"k","h","","253","1613461051593","plan1",""
"e","e","","253","1613461051708","plan1",""
"k","e","","254","1613461051709","plan1",""
"k"," ","","255","1613461051768","plan1",""
"e"," i","","254","1613461052086","plan1",""
"k","i","","256","1613461052087","plan1",""
"e","n","","256","1613461052251","plan1",""
"k","n","","257","1613461052253","plan1",""
"e","p","","257","1613461052412","plan1",""
"k","p","","258","1613461052414","plan1",""
"e","u","","258","1613461052521","plan1",""
"k","u","","259","1613461052523","plan1",""
"e","t","","259","1613461052692","plan1",""
"k","t","","260","1613461052694","plan1",""
"k"," ","","261","1613461052804","plan1",""
"e"," w","","260","1613461053404","plan1",""
"k","w","","262","1613461053406","plan1",""
"e","i","","262","1613461053501","plan1",""
"k","i","","263","1613461053503","plan1",""
"e","l","","263","1613461053708","plan1",""
"k","l","","264","1613461053710","plan1",""
"e","l","","264","1613461054223","plan1",""
"k","l","","265","1613461054225","plan1",""
"k"," ","","266","1613461054336","plan1",""
"e"," b","","265","1613461054759","plan1",""
"k","b","","267","1613461054761","plan1",""
"e","e","","267","1613461055001","plan1",""
"k","e","","268","1613461055002","plan1",""
"k"," ","","269","1613461055142","plan1",""
"e"," t","","268","1613461055280","plan1",""
"k","t","","270","1613461055282","plan1",""
"e","h","","270","1613461055381","plan1",""
"k","h","","271","1613461055383","plan1",""
"e","e","","271","1613461055429","plan1",""
"k","e","","272","1613461055431","plan1",""
"k"," ","","273","1613461055571","plan1",""
