"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1611639488983","main.py",""
"k","i","","105","1612204977243","task1.py",""
"e","n","","105","1612204977383","task1.py",""
"k","n","","106","1612204977390","task1.py",""
"e","t","","106","1612204977490","task1.py",""
"k","t","","107","1612204977497","task1.py",""
"e"," ","","107","1612204977652","task1.py",""
"k"," ","","108","1612204977653","task1.py",""
"e","i","","108","1612204978178","task1.py",""
"k","i","","109","1612204978179","task1.py",""
"e","n","","109","1612204978337","task1.py",""
"k","n","","110","1612204978347","task1.py",""
"a","Backspace","","","1612204979127","task1.py",""
"e","","n","109","1612204979142","task1.py",""
"a","Backspace","","","1612204979267","task1.py",""
"e","","i","108","1612204979282","task1.py",""
"a","Backspace","","","1612204979390","task1.py",""
"e",""," ","107","1612204979405","task1.py",""
"e","(","","107","1612204981347","task1.py",""
"e",")","","108","1612204981358","task1.py",""
"k","(","","108","1612204981358","task1.py",""
"e","i","","108","1612204981847","task1.py",""
"k","i","","109","1612204981848","task1.py",""
"e","n","","109","1612204982500","task1.py",""
"k","n","","110","1612204982515","task1.py",""
"a","Choose Lookup Item Replace","","","1612204983620","task1.py",""
"e","vestA","","110","1612204983641","task1.py",""
"e"," ","","98","1612204998322","task1.py",""
"k"," ","","99","1612204998323","task1.py",""
"a","Backspace","","","1612205005923","task1.py",""
"e","","t","97","1612205005939","task1.py",""
"e","-","","97","1612205006392","task1.py",""
"k","-","","98","1612205006392","task1.py",""
"e"," ","","97","1612205010123","task1.py",""
"k"," ","","98","1612205010123","task1.py",""
"e","t","","98","1612205012392","task1.py",""
"k","t","","99","1612205012392","task1.py",""
"a","Backspace","","","1612205013805","task1.py",""
"e","","t","98","1612205013821","task1.py",""
"a","Backspace","","","1612205013928","task1.py",""
"e",""," ","97","1612205013941","task1.py",""
"e","t","","97","1612205014036","task1.py",""
