e,"# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
",,0,1611774420254,main.py
e,,i,52,1611774529010,task1.py
e,a,,52,1611774529332,task1.py
k,a,,53,1611774529333,task1.py
e,m,,53,1611774529431,task1.py
k,m,,54,1611774529438,task1.py
e,o,,54,1611774529595,task1.py
k,o,,55,1611774529601,task1.py
e,u,,55,1611774529676,task1.py
k,u,,56,1611774529677,task1.py
e,n,,56,1611774529871,task1.py
k,n,,57,1611774529872,task1.py
e,t,,57,1611774529962,task1.py
k,t,,58,1611774529963,task1.py
a,Down,,,1611774530699,task1.py
e,m,,95,1611774534563,task1.py
k,m,,96,1611774534564,task1.py
a,Backspace,,,1611774535110,task1.py
e,,m,95,1611774535118,task1.py
e,p,,95,1611774536567,task1.py
k,p,,96,1611774536568,task1.py
e,a,,96,1611774536682,task1.py
k,a,,97,1611774536688,task1.py
e,y,,97,1611774536804,task1.py
k,y,,98,1611774536811,task1.py
e,m,,98,1611774537529,task1.py
k,m,,99,1611774537530,task1.py
e,e,,99,1611774537603,task1.py
k,e,,100,1611774537604,task1.py
e,n,,100,1611774537698,task1.py
k,n,,101,1611774537699,task1.py
e,t,,101,1611774537803,task1.py
k,t,,102,1611774537803,task1.py
e, ,,102,1611774537918,task1.py
k, ,,103,1611774537919,task1.py
e,=,,103,1611774538428,task1.py
k,=,,104,1611774538429,task1.py
e, ,,104,1611774538521,task1.py
k, ,,105,1611774538522,task1.py
e,i,,105,1611774539177,task1.py
k,i,,106,1611774539178,task1.py
e,n,,106,1611774539223,task1.py
k,n,,107,1611774539224,task1.py
e,p,,107,1611774539374,task1.py
k,p,,108,1611774539381,task1.py
e,u,,108,1611774539465,task1.py
k,u,,109,1611774539470,task1.py
e,t,,109,1611774539559,task1.py
k,t,,110,1611774539563,task1.py
e,(,,110,1611774543465,task1.py
e,),,111,1611774543475,task1.py
k,(,,111,1611774543476,task1.py
e,i,,111,1611774544384,task1.py
k,i,,112,1611774544385,task1.py
e,n,,112,1611774544427,task1.py
k,n,,113,1611774544428,task1.py
e,t,,113,1611774544499,task1.py
k,t,,114,1611774544505,task1.py
e,(,,114,1611774545423,task1.py
e,),,116,1611774545433,task1.py
k,(,,115,1611774545434,task1.py
e,"""",,115,1611774546084,task1.py
e,"""",,116,1611774546094,task1.py
k,"""",,116,1611774546094,task1.py
a,Right,,,1611774554644,task1.py
e,$,,91,1611774555433,task1.py
k,$,,92,1611774555433,task1.py
a,Down,,,1611774555982,task1.py
a,Down,,,1611774555983,task1.py
a,Left,,,1611774556404,task1.py
a,Left,,,1611774556601,task1.py
a,Left,,,1611774556768,task1.py
e,M,,117,1611774558537,task1.py
k,M,,118,1611774558538,task1.py
